branch,track_maintenance_area,track_maintenance_control_room,road_administrator,route,address,transportation_bureau,prefecture,railway,name,kana,latitude,longitude,kilometer,starting_station,ending_station,rc_type,rc_type_detail,lines
近統(神戸),加古川保線区,西脇保線管理室,加古川市,中津美乃利線,兵庫県加古川市加古川町中津字樋掛388-2,近畿,兵庫,加古川線,日岡第二,ひおかだいに,34.770854,134.850095,1.205,加古川,日岡,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,中津水足線,兵庫県加古川市加古川町大野字穴バリ388-2,近畿,兵庫,加古川線,日岡第三,ひおかだいさん,34.77349074,134.8525032,1.572,加古川,日岡,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,大野20号線,兵庫県加古川市加古川町大野字穴バリ388-2,近畿,兵庫,加古川線,日岡第四,ひおかだいよん,34.77579868,134.8546208,1.894,加古川,日岡,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,大野平野線,兵庫県加古川市加古川町大野字イトミ203-4,近畿,兵庫,加古川線,日岡,ひおか,34.77752217,134.8561799,2.131,加古川,日岡,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,日岡刑務所線,兵庫県加古川市加古川町大野字早瀬1155-3,近畿,兵庫,加古川線,大野西,おおのにし,34.77926162,134.8578001,2.373,日岡,神野,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,大野西条線,兵庫県加古川市加古川町大野字大町50-2,近畿,兵庫,加古川線,宮ノ下,みやのした,34.78050569,134.8590729,2.543,日岡,神野,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,西日本旅客鉄,鉄道用地,兵庫県加古川市神野町西ノ山字迎野248-2,近畿,兵庫,加古川線,釣橋,つりばし,34.78550002,134.8664236,3.429,日岡,神野,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,神野団地線,兵庫県加古川市神野町神野字茶ノ木1648-3,近畿,兵庫,加古川線,神野第一,かんのだいいち,34.78995541,134.8725488,4.195,日岡,神野,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,新神野西条線,兵庫県加古川市神野町下西条字渡り上り146-3,近畿,兵庫,加古川線,神野第二,かんのだいに,34.79056709,134.8762811,4.544,日岡,神野,１種,自動(甲),単線
近統(神戸),加古川保線区,西脇保線管理室,加古川市,西条2号線,兵庫県加古川市神野町西条字中川原610-2,近畿,兵庫,加古川線,神野駅西,かんのえきにし,34.79087978,134.8782571,4.729,日岡,神野,１種,自動(甲),単線
